UID,category,editModifyDate,startDate,endDate,hitRate,time,locationName,onSale,latitude,longitude,endTime,YearType,Period
5fea2cd2d083a300681e9b60,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,9,2021/01/01 08:00:00,三峽區（新北市）=,N,,,2021/12/31 18:00:00,Past,364
5fea2cd2d083a300681e9b61,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,12,2021/01/01 08:00:00,新莊區（新北市）=,N,,,2021/12/31 18:00:00,Past,364
5fea2cd2d083a300681e9b62,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,2,2021/01/01 08:00:00,瑞芳區（新北市）=,N,,,2021/12/31 18:00:00,Past,364
5fea2cd2d083a300681e9b63,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,2,2021/01/01 08:00:00,新北市政府稅捐稽徵處,N,,,2021/12/31 18:00:00,Past,364
5fea2cd5d083a300681e9b6f,8,,2021-12-01 00:00:00,2021-12-31 00:00:00,17667,2021/12/01 13:30:00,臺中市立圖書館霧峰以文分館,N,24.061571899999997,120.69900200000001,2021/12/31 16:00:00,Past,30
5fee20b3d083a300681e9cf0,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,57,2021/01/01 09:30:00,臺南山上花園水道博物館,Y,,,2021/12/31 17:30:00,Past,364
5fee20b3d083a300681e9cf1,8,,2021-01-01 00:00:00,2021-12-31 00:00:00,276,2021/01/01 09:00:00,馬公水上警察官吏派出所,N,,,2021/12/31 17:00:00,Past,364
5fee20b4d083a300681e9cf2,8,,2021-01-01 00:00:00,2021-12-31 00:00:00,463,2021/01/01 09:00:00,澎湖郵便局,N,,,2021/12/31 17:00:00,Past,364
5fee20b4d083a300681e9cf3,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,274,2021/01/01 08:00:00,七美鄉老人文康活動中心,N,,,2021/12/31 17:00:00,Past,364
5fef7349d083a300681e9d03,6,2021/10/05 17:25:23,2021-01-01 00:00:00,2021-12-31 00:00:00,2965,2021/01/01 08:00:00,彰化區漁會,N,,,2021/12/31 17:00:00,Past,364
5fef7349d083a300681e9d04,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,66,2021/01/01 08:00:00,花壇鄉（彰化縣）=,N,,,2021/12/31 17:30:00,Past,364
5fef7349d083a300681e9d05,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,66,2021/01/01 08:00:00,王功蚵藝文化館,N,,,2021/12/31 17:00:00,Past,364
5fef734ad083a300681e9d06,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,32,2021/01/01 08:00:00,台灣玻璃館,N,,,2021/12/31 18:00:00,Past,364
5fef734ad083a300681e9d07,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,32,2021/01/01 08:00:00,縉陽織帶文化園區,N,,,2021/12/31 17:00:00,Past,364
5fef734ad083a300681e9d08,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,26,2021/01/01 08:30:00,鹿港鎮史館,N,,,2021/12/31 17:30:00,Past,364
5fef734ad083a300681e9d09,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,24,2021/01/01 08:30:00,彰濱秀傳健康園區,N,,,2021/12/31 17:00:00,Past,364
5fef734bd083a300681e9d0a,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,25,2021/01/01 08:30:00,彰化市立圖書館,N,,,2021/12/31 18:00:00,Past,364
5fef734bd083a300681e9d0b,15,,2021-01-01 00:00:00,2021-12-31 00:00:00,4,2021/01/01 09:00:00,彰化縣立圖書館,N,,,2021/12/31 17:00:00,Past,364
5fef734bd083a300681e9d0c,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,2,2021/01/01 09:00:00,彰化縣立圖書館,N,,,2021/12/31 17:00:00,Past,364
5fef734bd083a300681e9d0d,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,18,2021/01/01 09:00:00,彰化縣立圖書館,N,,,2021/12/31 17:00:00,Past,364
5fef734cd083a300681e9d0e,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,2,2021/01/01 09:00:00,彰化縣立圖書館,N,,,2021/12/31 17:00:00,Past,364
5fef734cd083a300681e9d0f,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,23,2021/01/01 09:00:00,南北管音樂戲曲館,N,,,2021/12/31 17:00:00,Past,364
5fef734cd083a300681e9d10,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,11,2021/01/01 09:00:00,彰化縣原住民生活館,N,,,2021/12/31 17:00:00,Past,364
5fef734dd083a300681e9d11,6,2021/10/05 17:25:38,2021-01-01 00:00:00,2021-12-31 00:00:00,2167,2021/01/01 09:00:00,鹿港民俗文物館,Y,,,2021/12/31 17:00:00,Past,364
5fef734dd083a300681e9d12,6,2021/10/05 17:25:03,2021-01-01 00:00:00,2021-12-31 00:00:00,55,2021/01/01 09:00:00,元清觀民藝館,N,,,2021/12/31 17:00:00,Past,364
5fef734dd083a300681e9d13,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,21,2021/01/01 09:00:00,賴和文教基金會（賴和紀念館）,N,,,2021/12/31 17:00:00,Past,364
5fef734dd083a300681e9d14,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,43,2021/01/01 09:00:00,彰化市古月民俗館,N,,,2021/12/31 17:00:00,Past,364
5fef734ed083a300681e9d15,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,35,2021/01/01 09:00:00,田中鎮（彰化縣）=,N,,,2021/12/31 17:00:00,Past,364
5fef734ed083a300681e9d16,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,25,2021/01/01 09:00:00,台灣穀堡,N,,,2021/12/31 17:00:00,Past,364
5fef734ed083a300681e9d17,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,286,2021/01/01 09:00:00,員林市（彰化縣）=,N,,,2021/12/31 16:30:00,Past,364
5fef734fd083a300681e9d18,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,42,2021/01/01 09:00:00,溪湖鎮（彰化縣）=,N,,,2021/12/31 17:00:00,Past,364
5fef734fd083a300681e9d19,6,2021/04/29 18:14:47,2021-01-01 00:00:00,2021-12-31 00:00:00,276,2021/01/01 09:00:00,南瑤宮媽祖文化館,N,,,2021/12/31 17:00:00,Past,364
5fef734fd083a300681e9d1a,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,84,2021/01/01 09:00:00,彰化基督教醫院,N,,,2021/12/31 16:00:00,Past,364
5fef734fd083a300681e9d1b,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,7,2021/01/01 09:00:00,彰化基督教醫院,N,,,2021/12/31 17:00:00,Past,364
5fef7350d083a300681e9d1c,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,5,2021/01/01 09:00:00,彰化縣地方產業交流中心–福興穀倉,N,,,2021/12/31 17:00:00,Past,364
5fef7350d083a300681e9d1d,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,5,2021/01/01 09:00:00,溪湖糖廠,N,,,2021/12/31 16:30:00,Past,364
5fef7350d083a300681e9d1e,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,48,2021/01/01 09:00:00,溪湖糖廠,N,,,2021/12/31 16:30:00,Past,364
5fef7351d083a300681e9d1f,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,12,2021/01/01 09:00:00,彰化市（彰化縣）=,N,,,2021/12/31 16:00:00,Past,364
5ff366bed083a300681e9dc6,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,353,2021/01/01 10:00:00,高雄市立圖書館總館,N,22.6115529,120.30244909999999,2021/12/31 22:00:00,Past,364
5ff3d159aaa34fb86f347688,6,2021/06/01 09:25:38,2021-01-01 00:00:00,2021-12-31 00:00:00,14635,2021/01/01 00:00:00,線上展售,N,25.000795899999996,121.53619690000001,2021/12/31 00:00:00,Past,364
5ff52978d083a32618915e72,6,,2021-01-02 00:00:00,2021-12-31 00:00:00,44,2021/01/02 09:00:00,高雄市立圖書館路竹分館,N,22.8541831,120.26118659999999,2021/12/31 21:00:00,Past,363
5ff52978d083a32618915e73,6,,2021-01-02 00:00:00,2021-12-31 00:00:00,44,2021/01/02 09:00:00,高雄市立圖書館路竹分館,N,22.8541831,120.26118659999999,2021/12/31 21:00:00,Past,363
5ff52981d083a32618915e8f,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,192,2021/01/01 09:00:00,兒童美術館,N,22.6578576,120.28281470000002,2021/12/31 16:30:00,Past,364
5ff52981d083a32618915e90,6,,2021-01-30 00:00:00,2021-12-31 00:00:00,129,2021/01/30 10:00:00,兒童美術館,N,22.6578576,120.28281470000002,2021/12/31 16:30:00,Past,335
5ff52988d083a32618915eb7,19,,2021-01-05 00:00:00,2021-12-28 00:00:00,149,2021/01/05 09:00:00,高雄市政府文化局﹝岡山文化中心﹞,N,22.7832758,120.2982709,2021/12/28 11:00:00,Past,357
5ff609e2d083a38ef8e7dfe3,19,,2021-01-05 00:00:00,2021-12-28 00:00:00,60,2021/01/05 19:00:00,高雄市立圖書館林園分館,N,22.5075991,120.39491670000001,2021/12/28 20:40:00,Past,357
5ff609e2d083a38ef8e7dfe6,7,,2021-01-02 00:00:00,2021-12-25 00:00:00,224,2021/01/02 14:00:00,高雄市立圖書館林園分館,N,22.5075991,120.39491670000001,2021/12/25 16:00:00,Past,357
5ff609e3d083a38ef8e7dfe9,6,,2021-01-02 00:00:00,2021-12-31 00:00:00,69,2021/01/02 09:00:00,高雄市立圖書館新興民眾閱覽室,N,22.6272175,120.3068429,2021/12/31 19:00:00,Past,363
5ff609e4d083a38ef8e7dff2,6,,2021-01-02 00:00:00,2021-12-31 00:00:00,38,2021/01/02 09:00:00,高雄市立圖書館岡山分館,N,22.797164000000002,120.29288000000001,2021/12/31 21:00:00,Past,363
5ff609e6d083a38ef8e7dffa,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,259,2021/01/01 08:00:00,大東文化藝術中心,N,22.625059,120.363422,2021/12/31 22:00:00,Past,364
5ff609e6d083a38ef8e7dffc,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,57,2021/01/01 08:00:00,大東文化藝術中心,N,22.625059,120.363422,2021/12/31 22:00:00,Past,364
5ff609e7d083a38ef8e7dfff,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,124,2021/01/01 08:30:00,大東文化藝術中心,N,22.625059,120.363422,2021/12/31 17:00:00,Past,364
5ff609e7d083a38ef8e7e003,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,58,2021/01/01 09:00:00,洪根深美術館,N,,,2021/12/31 17:00:00,Past,364
5ff75ba2d083a33a6475d582,6,,2021-01-02 00:00:00,2021-12-31 00:00:00,26,2021/01/02 09:00:00,高雄市立圖書館美濃分館,N,22.9001672,120.54184270000002,2021/12/31 21:00:00,Past,363
5ff8ad19d083a3477c3c6ecd,8,,2021-01-01 00:00:00,2021-12-31 00:00:00,71,2021/01/01 10:30:00,車籠埔斷層保存園區,N,23.794722,120.71061100000001,2021/12/31 15:50:00,Past,364
5ff8ad1ad083a3477c3c6ed1,7,,2021-01-08 00:00:00,2021-12-17 00:00:00,50,2021/01/08 09:30:00,高雄市立圖書館美濃分館,N,22.9001672,120.54184270000002,2021/12/17 11:30:00,Past,343
5ff8ad1ad083a3477c3c6ed2,19,,2021-01-01 00:00:00,2021-12-31 00:00:00,91,2021/01/01 08:00:00,布袋鎮（嘉義縣）=,Y,,,2021/12/31 17:00:00,Past,364
5ff8ad1cd083a3477c3c6edd,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,34,2021/01/01 13:00:00,中西區（臺南市）=,N,,,2021/12/31 21:00:00,Past,364
5ff8ad1cd083a3477c3c6ede,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,36,2021/01/01 09:00:00,臺南市安平德陽艦,N,,,2021/12/31 17:00:00,Past,364
5ff98fc9aaa3d198a9e4f2bb,6,2021/11/30 18:08:48,2021-01-09 00:00:00,2021-12-31 00:00:00,15814,2021/01/09 00:00:00,線上展,N,25.032819,121.554905,2021/12/31 00:00:00,Past,356
5ffb5029d083a3477c3c6f7d,6,,2021-01-02 00:00:00,2021-12-31 00:00:00,39,2021/01/02 09:00:00,高雄市立圖書館大樹二館,N,22.6586226,120.41928970000001,2021/12/31 21:00:00,Past,363
